Species,Fire exposure (%),Metal exposure (%)
Cayaponia_selysioides,3.72,7
Cayaponia_tayuya,8.05,5.26
Cayaponia_tubulosa,2.87,9.39
Cecropia_annulata,7.26,0.34
Cecropia_concolor,4.35,9.93
Cecropia_distachya,2.27,13.6
Cecropia_engleriana,2.24,9.34
Cecropia_herthae,0.23,1.21
Cecropia_marginalis,0.76,1.69
Cecropia_membranacea,2.3,7.87
Cecropia_palmata,4.78,11.67
Cecropia_ulei,2.8,3.6
Cedrela_angustifolia,1.87,5.34
Cedrela_fissilis,5.41,12.87
Cedrelinga_cateniformis,1.5,15.8
Ceiba_samauma,3.66,9.27
Ceiba_speciosa,5.24,8.2
Celiantha_bella,0.17,1.01
Cenchrus_brownii,0.78,3.62
Cenostigma_tocantinum,9.4,24.35
Centrosema_brasilianum,3.97,10.69
